,Name,Longitude,Latitude
0,Colegio Divina Pastora,-3.7019098,40.4441965
1,Colegio El Porvenir,-3.704604799999999,40.4449104
2,Colegio Privado Bilingüe FEM SCHOOL,-3.7157059,40.4453498
3,Colegio Santo Domingo FESD Madrid,-3.7149559,40.4459725
4,Colegio Divina Pastora,-3.7019098,40.4441965
5,Centro concertado de enseñanza Sagrados Corazones,-3.7205436,40.43168219999999
6,Colegio Divina Pastora,-3.7019098,40.4441965
7,Cervantes Primary School,-3.7030959,40.4466198
8,Discipulas de Jesús,-3.7006763,40.4438781
9,Colegio El Porvenir,-3.704604799999999,40.4449104
10,Ceodont,-3.709711199999999,40.4478642
11,Escuela Infantil Los Bollitos,-3.7086783,40.448947
12,Academia Castiñeira,-3.7159438,40.4469317
13,Centro Privado De Educación Infantil Primaria Y Secundaria Santo Domingo,-3.7148154,40.4458389
14,Javier,-3.7154525,40.4439009
15,IES Islas Filipinas,-3.711236199999999,40.44082969999999
16,Colegio Santa María de Yermo FESD,-3.7164698,40.44112979999999
17,Fundación Escuela Teresiana,-3.7119788,40.4410184
18,Colegio Amor Misericordioso,-3.711919299999999,40.4426298
19,Jesús Maestro School,-3.711934,40.441151
20,Atos Casa,-3.715100899999999,40.4431369
21,Compania Santa Teresa de Jesús,-3.7119788,40.4410184
22,colegio,-3.716474199999999,40.4411335
23,Dominicas Misioneras de la Sagrada Famil,-3.7162868,40.4404619
24,CEU,-3.717261,40.443043
25,"""Escuela Infantil """"Vallehermoso""""""",-3.7092674,40.4357287
26,"""Colegio Decroly",40.4369959," S.L."""
27,AMIR,-3.717169600000001,40.4387662
28,Universidad Internacional Menéndez Pelayo,-3.720451600000001,40.4426469
29,Private Universidad San Pablo CEU,-3.7177054,40.4426616
30,Instituto Superior Pastoral,-3.7199526,40.44518679999999
31,Diplomatic School of Spain,-3.7191832,40.4462184
32,UNITE - International University of La Rioja,-3.71474,40.44891430000001
33,Centro de Educación Superior CUNIMAD,-3.7147543,40.4488771
34,Facultad Humanidades CEU,-3.7201599,40.4449068
35,Universidad Pontificia de Salamanca,-3.720000000000001,40.44527780000001
0,Residencia Y Centro De Dia Santa Engracia,-3.7003011,40.440145
1,Residencia ORPEA Madrid Loreto,-3.713337199999999,40.4463638
2,Santa Matilde Retirement Home,-3.708115,40.450041
3,Ballesol Parque Almansa,-3.714968,40.449966
4,Residencia San Vicente,-3.6964405,40.437292
5,Eurogeriatria De Salud,-3.7122095,40.4485012
6,Residencia Cardenal Spínola En Madrid Esclavas del Divino Corazón Prv España Norte,-3.714321,40.4441414
7,Residencial Los Nogales Reina Victoria,-3.710900099999999,40.4475463
8,Ballesol Parque Almansa,-3.714968,40.449966
9,Santa Matilde Retirement Home,-3.708115,40.450041
10,Institución Teresiana,-3.7185966,40.4429374
11,Eurogeriatria De Salud,-3.7122095,40.4485012
12,B.Hijas de Jesús,-3.717054,40.4462603
13,Residencia Y Centro De Dia Santa Engracia,-3.7003011,40.440145
14,Residencia para Mayores Ballesol Olavide *****,-3.6995252,40.4324542
15,Residencia Montserrat,-3.7064327,40.42784049999999
16,Residencia Hermanas Angelicas,-3.7148793,40.4283867
17,Residencia para Mayores Ballesol Francisco de Rojas *****,-3.6993522,40.4289443
18,Ancianos Felices S.L.,-3.711419799999999,40.4352451
19,Residencias Castellar,-3.7091307,40.43024210000001
20,Asilo de Ancianos Hermanitas de los Pobres,-3.6950192,40.4291592
21,Residencia Sacerdotal San Pedro Gestión Privada,-3.7060593,40.4311208
22,Residencia San Vicente,-3.6964405,40.437292
23,Centro Residencial Ferraz - Sanitas Mayores,-3.7212772,40.4306053
24,Residencia Hermanas Angelicas,-3.7148793,40.4283867
25,Ancianos Felices S.L.,-3.711419799999999,40.4352451
26,Residencia Montserrat,-3.7064327,40.42784049999999
27,Residencias Castellar,-3.7091307,40.43024210000001
28,Residencia Sacerdotal San Pedro Gestión Privada,-3.7060593,40.4311208
29,Centro de Día Salus Mayores Ríos Rosas,-3.7008152,40.4432079
30,Centro de Día de Personas Mayores de la Comunidad de Madrid,-3.697588699999999,40.4389713
31,Centro de Día Salus Mayores Ríos Rosas,-3.7008152,40.4432079
32,Centro de Dia El Enebral,-3.7030297,40.43278979999999
33,Residencia Y Centro De Dia Santa Engracia,-3.7003011,40.440145
34,Centro De Día Casa De Las Flores,-3.7164788,40.4319959
35,Centro de día para personas con discapacidad física Argüelles,-3.7145497,40.4336201
36,Ginso Asociación Para Gestión de la Integración Social,-3.715581999999999,40.439459
37,Centro de Día Chamberí,-3.7063313,40.439966
